,smiles,mols
0,C(CNCCNCCNCCN)N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6300>
1,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6260>
2,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6210>
3,CCC12CC(=C)C3C(C1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A61C0>
4,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6170>
5,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CN=CN2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6120>
6,CC1CC2C3CCC4=CC(=O)C=CC4([C@]3(C(CC2([C@]1(C(=O)CCl)O)C)O)F)C,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A60D0>
7,CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6080>
8,CSCCC(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6030>
9,C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A68A0>
10,CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A69E0>
11,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6990>
12,CCCSC1=NC2=C(C(=N1)N[C@@H]3C[C@H]3C4=CC(=C(C=C4)F)F)N=NN2[C@@H]5C[C@@H]([C@H]([C@H]5O)O)OCCO,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1A6A80>
13,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5350>
14,Cl[Tl],<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B53A0>
15,CC1=NN=C(N1C2CC3CCC(C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B53F0>
16,C[N+](C)(C)CC(CC(=O)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5440>
17,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5490>
18,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N.C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B54E0>
19,C(CC(=O)O)CN,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5530>
20,C[C@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)O)C)O)F)C)F,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5580>
21,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B55D0>
22,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5620>
23,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5670>
24,C(CC(=O)O)C(=O)CN,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B56C0>
25,C1C(N(C2=C(N1)NC(=NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5710>
26,CCC12CC(=C)C3C(C1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,<rdkit.Chem.rdchem.Mol object at 0x0000015CDA1B5760>
